File,NEDR
2-8 post short snipped-1.wav, 0.14557
2-8 post short snipped-2.wav, 0.082357
2-8 post short snipped-3.wav, 0.20922
2-8 post short snipped-4.wav, 0.1849
2-8 post short snipped-5.wav, 0.13262
2-8 post short snipped-6.wav, 0.16027
2-8 post short snipped-7.wav, 0.202
2-8 post short snipped-8.wav, 0.25817
2-8 post short snipped-9.wav, 0.18091
2-8 post short snipped-10.wav, 0.072586
2-8 post short snipped-11.wav, 0.078019
2-8 post short snipped-12.wav, 0.23772
2-8 post short snipped-13.wav, 0.24274
2-8 post short snipped-14.wav, 0.16284
2-8 post short snipped-15.wav, 0.1856
2-8 post short snipped-16.wav, 0.19305
2-8 post short snipped-17.wav, 0.15954
2-8 post short snipped-18.wav, 0.24413
2-8 post short snipped-19.wav, 0.22225
2-8 post short snipped-20.wav, 0.20432
2-8 post short snipped-21.wav, 0.30154
2-8 post short snipped-22.wav, 0.17944
2-8 post short snipped-23.wav, 0.15788
2-8 post short snipped-24.wav, 0.11098
2-8 post short snipped-25.wav, 0.15391
2-8 post short snipped-26.wav, 0.20368
2-8 post short snipped-27.wav, 0.16082
2-8 post short snipped-28.wav, 0.083563
2-8 post short snipped-29.wav, 0.19127
2-8 post short snipped-30.wav, 0.24604
2-8 post short snipped-31.wav, 0.25744
2-8 post short snipped-32.wav, 0.26561
2-8 post short snipped-33.wav, 0.18442
2-8 post short snipped-34.wav, 0.18947
2-8 post short snipped-35.wav, 0.1417
2-8 post short snipped-36.wav, 0.086605
2-8 post short snipped-37.wav, 0.19371
2-8 post short snipped-38.wav, 0.18373
2-8 post short snipped-39.wav, 0.19075
2-8 post short snipped-40.wav, 0.17704
2-8 post short snipped-41.wav, 0.075267
2-8 post short snipped-42.wav, 0.19438
2-8 post short snipped-43.wav, 0.13624
2-8 post short snipped-44.wav, 0.32801
2-8 post short snipped-45.wav, 0.2374
