File,NEDR
2-8 pre-control snipped-1.wav, 0.056988
2-8 pre-control snipped-2.wav, 0.048937
2-8 pre-control snipped-3.wav, 0.055211
2-8 pre-control snipped-4.wav, 0.052863
2-8 pre-control snipped-5.wav, 0.055186
2-8 pre-control snipped-6.wav, 0.042151
2-8 pre-control snipped-7.wav, 0.044173
2-8 pre-control snipped-8.wav, 0.055748
2-8 pre-control snipped-9.wav, 0.052878
2-8 pre-control snipped-10.wav, 0.045458
2-8 pre-control snipped-11.wav, 0.050873
2-8 pre-control snipped-12.wav, 0.051141
2-8 pre-control snipped-13.wav, 0.10898
2-8 pre-control snipped-14.wav, 0.058416
2-8 pre-control snipped-15.wav, 0.054141
2-8 pre-control snipped-16.wav, 0.054478
2-8 pre-control snipped-17.wav, 0.05548
2-8 pre-control snipped-18.wav, 0.048588
2-8 pre-control snipped-19.wav, 0.1199
2-8 pre-control snipped-20.wav, 0.056649
2-8 pre-control snipped-21.wav, 0.121
2-8 pre-control snipped-22.wav, 0.050851
2-8 pre-control snipped-23.wav, 0.068064
2-8 pre-control snipped-24.wav, 0.15605
2-8 pre-control snipped-25.wav, 0.14664
2-8 pre-control snipped-26.wav, 0.10578
2-8 pre-control snipped-27.wav, 0.14645
2-8 pre-control snipped-28.wav, 0.058352
2-8 pre-control snipped-29.wav, 0.12865
2-8 pre-control snipped-30.wav, 0.059591
2-8 pre-control snipped-31.wav, 0.1812
2-8 pre-control snipped-32.wav, 0.10318
2-8 pre-control snipped-33.wav, 0.056425
2-8 pre-control snipped-34.wav, 0.046445
2-8 pre-control snipped-35.wav, 0.088159
2-8 pre-control snipped-36.wav, 0.046212
2-8 pre-control snipped-37.wav, 0.13024
2-8 pre-control snipped-38.wav, 0.058851
2-8 pre-control snipped-39.wav, 0.04918
2-8 pre-control snipped-40.wav, 0.049597
2-8 pre-control snipped-41.wav, 0.054009
2-8 pre-control snipped-42.wav, 0.052575
2-8 pre-control snipped-43.wav, 0.044513
2-8 pre-control snipped-44.wav, 0.050702
2-8 pre-control snipped-45.wav, 0.11673
2-8 pre-control snipped-46.wav, 0.046683
2-8 pre-control snipped-47.wav, 0.10129
2-8 pre-control snipped-48.wav, 0.057388
2-8 pre-control snipped-49.wav, 0.12762
2-8 pre-control snipped-50.wav, 0.058571
2-8 pre-control snipped-51.wav, 0.12776
2-8 pre-control snipped-52.wav, 0.11502
2-8 pre-control snipped-53.wav, 0.051769
2-8 pre-control snipped-54.wav, 0.054567
2-8 pre-control snipped-55.wav, 0.054508
2-8 pre-control snipped-56.wav, 0.12927
2-8 pre-control snipped-57.wav, 0.19676
2-8 pre-control snipped-58.wav, 0.040694
2-8 pre-control snipped-59.wav, 0.043705
2-8 pre-control snipped-60.wav, 0.047597
2-8 pre-control snipped-61.wav, 0.041644
2-8 pre-control snipped-62.wav, 0.049576
2-8 pre-control snipped-63.wav, 0.042647
2-8 pre-control snipped-64.wav, 0.042927
2-8 pre-control snipped-65.wav, 0.040767
2-8 pre-control snipped-66.wav, 0.040146
2-8 pre-control snipped-67.wav, 0.037797
2-8 pre-control snipped-68.wav, 0.037615
2-8 pre-control snipped-69.wav, 0.036943
2-8 pre-control snipped-70.wav, 0.047485
2-8 pre-control snipped-71.wav, 0.044965
2-8 pre-control snipped-72.wav, 0.038757
2-8 pre-control snipped-73.wav, 0.037973
2-8 pre-control snipped-74.wav, 0.044507
2-8 pre-control snipped-75.wav, 0.046612
2-8 pre-control snipped-76.wav, 0.039675
2-8 pre-control snipped-77.wav, 0.040893
2-8 pre-control snipped-78.wav, 0.040996
2-8 pre-control snipped-79.wav, 0.044515
2-8 pre-control snipped-80.wav, 0.051884
2-8 pre-control snipped-81.wav, 0.04497
2-8 pre-control snipped-82.wav, 0.047246
2-8 pre-control snipped-83.wav, 0.048965
2-8 pre-control snipped-84.wav, 0.051903
2-8 pre-control snipped-85.wav, 0.048423
