File,Jitter,Shimmer
2-8 post long snipped-1.wav, 0.44966, 0.0032589
2-8 post long snipped-2.wav, 0.45586, 0.00059964
2-8 post long snipped-3.wav, 0.45253, 0.00074587
2-8 post long snipped-4.wav, 0.50432, 0.00030533
2-8 post long snipped-5.wav, 0.52451, -0.0018259
2-8 post long snipped-6.wav, 0.55027, 0.00096298
2-8 post long snipped-7.wav, 0.51232, -0.0011655
2-8 post long snipped-8.wav, 0.50273, -0.0024369
2-8 post long snipped-9.wav, 0.48061, -0.0013757
2-8 post long snipped-10.wav, 0.49837, -0.002713
2-8 post long snipped-11.wav, 0.50473, -0.00072097
2-8 post long snipped-12.wav, 0.50559, 0.00023666
2-8 post long snipped-13.wav, 0.47602, 0.0011962
2-8 post long snipped-14.wav, 0.43569, 0.00045439
2-8 post long snipped-15.wav, 0.45264, 0.0014434
2-8 post long snipped-16.wav, 0.52613, -0.0015129
2-8 post long snipped-17.wav, 0.59519, -0.00036468
2-8 post long snipped-18.wav, 0.57407, -0.0019797
2-8 post long snipped-19.wav, 0.5362, 0.00011956
2-8 post long snipped-20.wav, 0.50753, -0.00032825
2-8 post long snipped-21.wav, 0.50861, 0.0012802
2-8 post long snipped-22.wav, 0.51182, -0.00032566
2-8 post long snipped-23.wav, 0.50875, 0.0019621
2-8 post long snipped-24.wav, 0.50895, 0.0011989
2-8 post long snipped-25.wav, 0.49086, -0.0005689
2-8 post long snipped-26.wav, 0.49281, -0.0027518
2-8 post long snipped-27.wav, 0.50696, 0.00055397
2-8 post long snipped-28.wav, 0.50536, 0.0028323
2-8 post long snipped-29.wav, 0.4795, -0.0025409
2-8 post long snipped-30.wav, 0.44681, 0.00098058
2-8 post long snipped-31.wav, 0.43413, -0.00031185
2-8 post long snipped-32.wav, 0.45149, -0.0014244
2-8 post long snipped-33.wav, 0.50148, -0.0041981
2-8 post long snipped-34.wav, 0.54045, 0.00078389
2-8 post long snipped-35.wav, 0.55426, 0.0012576
2-8 post long snipped-36.wav, 0.56522, 0.0035174
2-8 post long snipped-37.wav, 0.56745, 0.0018742
2-8 post long snipped-38.wav, 0.54167, 0.00072939
2-8 post long snipped-39.wav, 0.50917, -0.00092182
2-8 post long snipped-40.wav, 0.5186, -0.0030312
2-8 post long snipped-41.wav, 0.53885, 0.0021668
2-8 post long snipped-42.wav, 0.56014, 0.00076097
2-8 post long snipped-43.wav, 0.5401, -0.0038172
2-8 post long snipped-44.wav, 0.51026, 0.00246
2-8 post long snipped-45.wav, 0.48489, -0.00044821
2-8 post long snipped-46.wav, 0.48674, 0.00084017
2-8 post long snipped-47.wav, 0.54495, 0.0012687
2-8 post long snipped-48.wav, 0.58969, 0.00094925
2-8 post long snipped-49.wav, 0.58322, 8.0719e-05
2-8 post long snipped-50.wav, 0.57508, 0.00032324
2-8 post long snipped-51.wav, 0.55983, -0.00014837
2-8 post long snipped-52.wav, 0.556, -0.0012524
2-8 post long snipped-53.wav, 0.50374, -0.0010598
2-8 post long snipped-54.wav, 0.50762, -0.00048108
2-8 post long snipped-55.wav, 0.52665, 0.0014413
2-8 post long snipped-56.wav, 0.5594, 0.0020676
2-8 post long snipped-57.wav, 0.55127, -0.00063429
2-8 post long snipped-58.wav, 0.54989, 0.0011436
2-8 post long snipped-59.wav, 0.5542, -9.1448e-05
2-8 post long snipped-60.wav, 0.53467, -0.0010887
2-8 post long snipped-61.wav, 0.52187, 0.0031108
2-8 post long snipped-62.wav, 0.51221, -0.0015948
2-8 post long snipped-63.wav, 0.52408, 0.00095598
2-8 post long snipped-64.wav, 0.51775, -0.00070446
2-8 post long snipped-65.wav, 0.50009, -0.0036128
2-8 post long snipped-66.wav, 0.45045, 0.0027507
2-8 post long snipped-67.wav, 0.42504, 0.00055366
2-8 post long snipped-68.wav, 0.43444, 0.00069073
