File,Jitter,Shimmer
2-8 post short snipped-1.wav, 0.34357, 0.00041494
2-8 post short snipped-2.wav, 0.33656, 0.0022007
2-8 post short snipped-3.wav, 0.34468, 0.0002337
2-8 post short snipped-4.wav, 0.36843, -0.00027853
2-8 post short snipped-5.wav, 0.38885, -8.3092e-05
2-8 post short snipped-6.wav, 0.38932, 0.0015167
2-8 post short snipped-7.wav, 0.38275, -0.0014716
2-8 post short snipped-8.wav, 0.3582, 0.0011093
2-8 post short snipped-9.wav, 0.36757, 0.0020168
2-8 post short snipped-10.wav, 0.36866, 0.00026037
2-8 post short snipped-11.wav, 0.38397, -0.0016543
2-8 post short snipped-12.wav, 0.40282, -0.0016737
2-8 post short snipped-13.wav, 0.45521, -6.9294e-05
2-8 post short snipped-14.wav, 0.47515, -0.00056138
2-8 post short snipped-15.wav, 0.48351, 0.0017585
2-8 post short snipped-16.wav, 0.45627, -0.00032488
2-8 post short snipped-17.wav, 0.48116, -0.0020699
2-8 post short snipped-18.wav, 0.47247, 0.0012851
2-8 post short snipped-19.wav, 0.48604, 0.00057311
2-8 post short snipped-20.wav, 0.48011, 0.00068918
2-8 post short snipped-21.wav, 0.49547, -0.00039107
2-8 post short snipped-22.wav, 0.50232, -0.001013
2-8 post short snipped-23.wav, 0.49451, 0.001749
2-8 post short snipped-24.wav, 0.48542, -0.00054694
2-8 post short snipped-25.wav, 0.47361, 0.0025002
2-8 post short snipped-26.wav, 0.48135, -0.0005373
2-8 post short snipped-27.wav, 0.49676, -0.00045319
2-8 post short snipped-28.wav, 0.49369, -0.0023879
2-8 post short snipped-29.wav, 0.43963, 0.0035333
2-8 post short snipped-30.wav, 0.36475, 0.0012526
2-8 post short snipped-31.wav, 0.33095, 0.0010885
2-8 post short snipped-32.wav, 0.31636, 0.0013867
2-8 post short snipped-33.wav, 0.32637, 0.00081581
2-8 post short snipped-34.wav, 0.32231, 0.0013789
2-8 post short snipped-35.wav, 0.33063, 0.00075968
2-8 post short snipped-36.wav, 0.36351, 0.0011044
2-8 post short snipped-37.wav, 0.39852, -0.00060566
2-8 post short snipped-38.wav, 0.45523, 0.0003847
2-8 post short snipped-39.wav, 0.46525, 0.00041919
2-8 post short snipped-40.wav, 0.45285, -0.0023492
2-8 post short snipped-41.wav, 0.42943, -0.00056863
2-8 post short snipped-42.wav, 0.3989, 0.0012742
2-8 post short snipped-43.wav, 0.39819, 0.0016026
2-8 post short snipped-44.wav, 0.3707, 0.00085819
2-8 post short snipped-45.wav, 0.39931, 0.0021796
