File,Jitter,Shimmer
2-8 2nd pre-control snipped-1.wav, 0.38553, 0.0017405
2-8 2nd pre-control snipped-2.wav, 0.3995, -0.0013956
2-8 2nd pre-control snipped-3.wav, 0.4157, 0.0010109
2-8 2nd pre-control snipped-4.wav, 0.43399, 0.0017815
2-8 2nd pre-control snipped-5.wav, 0.42493, 0.00098724
2-8 2nd pre-control snipped-6.wav, 0.42853, -0.0016554
2-8 2nd pre-control snipped-7.wav, 0.42939, -0.0014414
2-8 2nd pre-control snipped-8.wav, 0.4476, 0.00073519
2-8 2nd pre-control snipped-9.wav, 0.4595, 0.0013867
2-8 2nd pre-control snipped-10.wav, 0.46677, 0.00061745
2-8 2nd pre-control snipped-11.wav, 0.47317, 0.00024401
2-8 2nd pre-control snipped-12.wav, 0.47505, 0.0028414
2-8 2nd pre-control snipped-13.wav, 0.49046, 0.00031801
2-8 2nd pre-control snipped-14.wav, 0.48438, -0.0027456
2-8 2nd pre-control snipped-15.wav, 0.4986, 0.0015557
2-8 2nd pre-control snipped-16.wav, 0.49639, 0.0035125
2-8 2nd pre-control snipped-17.wav, 0.51495, -0.001773
2-8 2nd pre-control snipped-18.wav, 0.50146, 0.0044744
2-8 2nd pre-control snipped-19.wav, 0.48659, 0.00040233
2-8 2nd pre-control snipped-20.wav, 0.46961, 0.002844
2-8 2nd pre-control snipped-21.wav, 0.47377, -0.00036619
2-8 2nd pre-control snipped-22.wav, 0.48971, -0.00078628
2-8 2nd pre-control snipped-23.wav, 0.49917, 0.0016961
2-8 2nd pre-control snipped-24.wav, 0.48139, 0.00057969
2-8 2nd pre-control snipped-25.wav, 0.44581, -0.0022857
2-8 2nd pre-control snipped-26.wav, 0.42452, 0.00087883
2-8 2nd pre-control snipped-27.wav, 0.42456, 0.0017155
2-8 2nd pre-control snipped-28.wav, 0.43781, -0.0028998
2-8 2nd pre-control snipped-29.wav, 0.43218, -0.0014731
2-8 2nd pre-control snipped-30.wav, 0.42834, 0.00058943
2-8 2nd pre-control snipped-31.wav, 0.41395, -0.0016022
2-8 2nd pre-control snipped-32.wav, 0.42742, -0.0051121
2-8 2nd pre-control snipped-33.wav, 0.45473, 0.0022284
2-8 2nd pre-control snipped-34.wav, 0.44767, 0.0023455
2-8 2nd pre-control snipped-35.wav, 0.43651, -0.0062922
2-8 2nd pre-control snipped-36.wav, 0.41796, -0.0031856
2-8 2nd pre-control snipped-37.wav, 0.45772, 0.0013299
2-8 2nd pre-control snipped-38.wav, 0.46865, -0.0044336
2-8 2nd pre-control snipped-39.wav, 0.49368, -0.00097365
2-8 2nd pre-control snipped-40.wav, 0.49683, 6.2109e-05
2-8 2nd pre-control snipped-41.wav, 0.48278, -0.0032493
2-8 2nd pre-control snipped-42.wav, 0.45613, 0.0017029
2-8 2nd pre-control snipped-43.wav, 0.44918, 0.0014344
2-8 2nd pre-control snipped-44.wav, 0.47639, 0.0013574
2-8 2nd pre-control snipped-45.wav, 0.47877, 0.0017894
2-8 2nd pre-control snipped-46.wav, 0.46025, -0.00068953
2-8 2nd pre-control snipped-47.wav, 0.45145, -0.0029893
2-8 2nd pre-control snipped-48.wav, 0.43742, 0.00061593
2-8 2nd pre-control snipped-49.wav, 0.44191, 0.0036182
2-8 2nd pre-control snipped-50.wav, 0.44701, 0.00030888
2-8 2nd pre-control snipped-51.wav, 0.45819, -7.4156e-05
2-8 2nd pre-control snipped-52.wav, 0.47702, 0.0019361
2-8 2nd pre-control snipped-53.wav, 0.49739, 0.0019563
2-8 2nd pre-control snipped-54.wav, 0.51202, 0.0013381
2-8 2nd pre-control snipped-55.wav, 0.53278, -0.0035812
2-8 2nd pre-control snipped-56.wav, 0.52617, -0.0031072
2-8 2nd pre-control snipped-57.wav, 0.52594, -0.0025819
